Princípio Ativo;Modo de tomar;Observação
Acetato de Retinol (Vitamina A);Com refeição;Melhor absorção com gorduras
Ácido Acetilsalicílico;Com refeição ou após refeição;Evitar em jejum para evitar irritação gástrica
Alprazolam;Com ou sem alimentos;Pode causar sonolência
Captopril;Em jejum (1h antes ou 2h após refeições);Absorção reduida com alimentos
Cloridrato de Levotiroxina;Jejum, 30–60 minutos antes do café da manhã;Evitar com cálcio, ferro ou leite
Cloridrato de Metformina;Durante ou logo após a refeição principal;Reduz efeitos colaterais gastrointestinais
Cloridrato de Sibutramina;Com refeição;Uso controlado e monitorado (cardiotoxicidade)
Cloridrato de Tansulosina;Com refeição;Reduz hipotensão postural
Cloridrato de Ticlopidina;Com refeição;Prevenir gastrite
Cloridrato de Triexifenidil;Com refeição;Para evitar irritação estomacal
Cloridrato de Tramadol;Com ou sem alimentos;Não misturar com depressores do SNC
Cloridrato de Tioridazina;Com refeição;Evita náuseas
Cloridrato de Trazodona;Com refeição;Aumenta absorção e reduz sedação inicial
Cloridrato de Sertralina;Com ou sem alimentos;Manter sempre o mesmo horário
Cloridrato de Propranolol;Com refeição;Reduz risco de hipoglicemia em diabéticos
Cloridrato de Fluoxetina;Com ou sem alimentos;Efeito pode demorar semanas
Cloridrato de Amitriptilina;À noite, com jantar;Causa sono
Cloridrato de Benazepril;Com ou sem alimentos;Geralmente tomado uma vez ao dia
Cloridrato de Betaxolol;Com alimentos;Reduz desconforto gastrointestinal
Cloridrato de Diltiazem (liberação prolongada);Com refeição;Ingerir inteira, não mastigar
Cloridrato de Fexofenadina;Com água, preferencialmente com refeição;Melhora absorção
Cloridrato de Labetalol;Com alimentos;Evitar consumo excessivo de sal
Cloridrato de Mirtazapina;À noite, com refeição;Aumenta apetite e sono
Cloridrato de Nortriptilina;Com alimentos;Reduz efeitos colaterais anticolinérgicos
Cloridrato de Ondansetrona;Com ou sem alimentos;Antes de quimioterapia ou cirurgia
Cloridrato de Paroxetina;Com alimentos;Evita náuseas
Cloridrato de Prazosina;Com refeição;Evitar primeira dose em jejum (hipotensão)
Cloridrato de Propafenona;Com refeição;Reduz irritação estomacal
Cloridrato de Quetiapina;Com alimentos;Evita hipoglicemia e melhora absorção
Cloridrato de Risperidona;Com ou sem alimentos;Efeito pode variar conforme metabolismo
Cloridrato de Sotalol;Com alimentos;Evitar em jejum para melhor absorção
Cloridrato de Venlafaxina;Com alimentos;Evitar interrupção abrupta
Cloridrato de Ziprasidona;Com alimentos (pelo menos 500 kcal);Aumenta biodisponibilidade
Cloridrato de Zolpidem;Jejum, em jejum absoluto;Efeito rápido, tomar imediatamente antes de dormir
Cloridrato de Tiamina (Vitamina B1);Com ou sem alimentos;Suplemento geralmente seguro
Cloridrato de Piridoxina (Vitamina B6);Com alimentos;Evita náuseas
Cianocobalamina (Vitamina B12);Com alimentos;Pode ser injetável também
Colecalciferol (Vitamina D3);Com refeição contendo gordura;Melhora absorção lipossolúvel
Palmitato de Retinol (Vitamina A);Com refeição;Melhor absorção com gorduras
Ácido Ascórbico (Vitamina C);Com ou sem alimentos;Pode ser tomado em qualquer momento
Ácido Fólico;Com alimentos;Ideal tomar todos os dias no mesmo horário
Sinvastatina;Em jejum (à noite), preferencialmente 2h após jantar;Ação máxima durante a síntese de colesterol
Atorvastatina;Com ou sem alimentos;Ação prolongada, horário fixo
Rosuvastatina;Com ou sem alimentos;Horário fixo para regularidade
Pitavastatina;Com ou sem alimentos;Sem restrição específica
Ezetimiba;Com ou sem alimentos;Pode ser combinada com estatinas
Glibenclamida;30 min antes do café da manhã;Ação hipoglicemiante
Glimepirida;30 min antes do café da manhã;Combinada com dieta e exercícios
Gliclazida;30 min antes do café da manhã;Forma prolongada: não mastigar
Glipizida;30 min antes do café da manhã;Ação rápida
Insulina Glargina (Lantus);Administração noturna, subcutânea;Horário fixo
Insulina Aspart/NPH;Subcutânea antes das principais refeições;Ajuste conforme orientação médica
Hidroclorotiazida;Com refeição, pela manhã;Evita micção noturna
Losartana;Com ou sem alimentos;Horário fixo
Losartana + Hidroclorotiazida;Com alimentos, pela manhã;Evita hipotensão
Enalapril;Com ou sem alimentos;Pode ser dividido se necessário
Ramipril;Com ou sem alimentos;Horário fixo
Amlodipino;Com ou sem alimentos;Ação prolongada
Nifedipino (liberação prolongada);Com alimentos;Não mastigar cápsula
Valsartana;Com ou sem alimentos;Horário fixo
Dapagliflozina;Com alimentos;Diurético renal, tomar pela manhã
Empagliflozina;Com alimentos;Efeito diurético, tomar pela manhã
Metformina XR (prolongada);Com jantar;Menos efeitos colaterais
Finasterida;Com ou sem alimentos;Horário fixo
Tadalafil;Com ou sem alimentos;Efeito até 36h
Sildenafil;Em jejum ou com refeição leve;Evitar refeições gordurosas
Ranitidina;Com ou sem alimentos;Antiácido noturno
Omeprazol;Em jejum, 30 min antes do café da manhã;Inibidor da bomba de prótons
Esomeprazol;Em jejum, 30 min antes do café da manhã;Cápsula deve ser engolida inteira
Lansoprazol;Em jejum, 30 min antes do café da manhã;Não mastigar
Domperidona;15–30 min antes das refeições;Estimulante da motilidade digestiva
Cetoconazol;Com alimentos;Melhora absorção
Fluconazol;Com ou sem alimentos;Uma dose única por semana (dependendo da indicação)
Itraconazol;Com alimentos;Melhor absorção com refeições gordurosas
Terbinafina;Com ou sem alimentos;Pode ser tomada com refeição
Alendronato de Sódio;Em jejum, com água pura, 30 min antes do café da manhã;Permanecer sentado/ereto após tomar
Risedronato;Em jejum, com água pura, 30 min antes do café da manhã;Permanecer sentado/ereto após tomar
Calcitriol;Com alimentos;Horário fixo
Princípio Ativo;;
Ácido Acetilsalicílico;Com refeição;Evitar em jejum para evitar irritação gástrica
Cloridrato de Metformina;Durante ou após a refeição principal;Reduz efeitos colaterais gastrointestinais
Levotiroxina Sódica;Jejum, 30–60 minutos antes do café da manhã;Evitar com cálcio, ferro ou leite
Omeprazol;Em jejum, 30 min antes do café da manhã;Inibidor da bomba de prótons
Deflazacorto;Com refeição;Corticoide oral – tomar conforme orientação médica
Glicerol;Via retal (enema);Usar conforme necessidade ou orientação médica
Glucose;IV (soro);Sempre sob supervisão médica
Cloridrato de Venlafaxina;Com alimentos;Manter sempre o mesmo horário
Cloridrato de Fluoxetina;Com ou sem alimentos;Efeito pode demorar semanas
Cloridrato de Paroxetina;Com alimentos;Evita náuseas
Cloridrato de Ciclobenzaprina;Com refeição;Relaxe muscular central – tomar conforme orientação
Cloridrato de Oximetazolina;Via nasal;Máximo 3-5 dias consecutivos
Acetilcisteína;Com alimentos ou diluída;Expectorante – pode causar náusea
Budesonida;Nasal ou oral (dependendo da formulação);Para asma ou rinite – seguir orientação médica
Estradiol + Acetato de Noretisterona;Com refeição;Hormônio substitutivo – tomar à mesma hora
Cloridrato de Ciprofloxacino;Com ou sem alimentos;Evitar com leite ou suplementos de cálcio/ferro
Iodixanol;IV (meio de contraste);Somente em ambiente hospitalar
Estriol;Via vaginal;Aplicar conforme orientação médica
Gefitinibe;Oral, em jejum ou com refeição leve;Medicamento oncológico – uso controlado
Sulfa de Gentamicina + Betametasona;Tópico ou oftálmico;Seguir orientação médica rigorosa
Gliflozinas (Ex.: Dapagliflozina);Com alimentos;Diurético renal – tomar pela manhã
Inibidores da PDE5 (Ex.: Sildenafil);Em jejum ou com refeição leve;Evitar com gorduras – efeito até 36h
Antidepressivos SNRI / SSRI;Com alimentos;Manter rotina fixa – não interromper abruptamente
Princípio Ativo;;
Ácido Acetilsalicílico;Com refeição;Evitar em jejum para evitar irritação gástrica
Cloridrato de Metformina;Durante ou após a refeição principal;Reduz efeitos colaterais gastrointestinais
Levotiroxina Sódica;Jejum, 30–60 minutos antes do café da manhã;Evitar com cálcio, ferro ou leite
Omeprazol;Em jejum, 30 min antes do café da manhã;Inibidor da bomba de prótons
Deflazacorto;Com refeição;Corticoide oral – tomar conforme orientação médica
Glicerol;Via retal (enema);Usar conforme necessidade ou orientação médica
Glucose;IV (soro);Sempre sob supervisão médica
Cloridrato de Venlafaxina;Com alimentos;Manter sempre o mesmo horário
Cloridrato de Fluoxetina;Com ou sem alimentos;Efeito pode demorar semanas
Cloridrato de Paroxetina;Com alimentos;Evita náuseas
Cloridrato de Ciclobenzaprina;Com refeição;Relaxe muscular central – tomar conforme orientação
Cloridrato de Oximetazolina;Via nasal;Máximo 3-5 dias consecutivos
Acetilcisteína;Com alimentos ou diluída;Expectorante – pode causar náusea
Budesonida;Nasal ou oral (dependendo da formulação);Para asma ou rinite – seguir orientação médica
Estradiol + Acetato de Noretisterona;Com refeição;Hormônio substitutivo – tomar à mesma hora
Cloridrato de Ciprofloxacino;Com ou sem alimentos;Evitar com leite ou suplementos de cálcio/ferro
Iodixanol;IV (meio de contraste);Somente em ambiente hospitalar
Estriol;Via vaginal;Aplicar conforme orientação médica
Gefitinibe;Oral, em jejum ou com refeição leve;Medicamento oncológico – uso controlado
Sulfa de Gentamicina + Betametasona;Tópico ou oftálmico;Seguir orientação médica rigorosa
Gliflozinas (Ex.: Dapagliflozina);Com alimentos;Diurético renal – tomar pela manhã
Inibidores da PDE5 (Ex.: Sildenafil);Em jejum ou com refeição leve;Evitar com gorduras – efeito até 36h
Antidepressivos SNRI / SSRI;Com alimentos;Manter rotina fixa – não interromper abruptamente
